english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
EFFECTS & STORES,User-facing product copy in the Reactant sample.,EFFECTS & STORES,translated,,,tx1_wkv6lxfuescfhcxixq366k46pu,row1_pqjcs2yegawv3qygxzmziyz5ka,message,,rules/src/effects_stores.rs:131:51,rev1_db48261c59e611f6712508c25fb33d0c13d2dc201f94e7d63b8b066214f54c7f
Synchronize after commit,User-facing product copy in the Reactant sample.,Synchronize after commit,translated,,,tx1_mfph6pwlpvv6ogdm4jdug7r5cu,row1_fiwx3y56njgiyc3immycq75wmm,message,,rules/src/effects_stores.rs:138:51,rev1_7d8f4d4a50288a51db8246c5bfe77f7068eae17692df941dab6049a8f0d6dc46
Connection,User-facing product copy in the Reactant sample.,Connection,translated,,,tx1_4ml4m3fwxoietkurb5h6n7bv2a,row1_illd5fmolxjstr63kotxoufilm,message,,rules/src/effects_stores.rs:154:59,rev1_1b98995e664e59d61d7d50ea1d41f17dd5336ebe84838fe73856b9ba404ced1b
CONNECTED,User-facing product copy in the Reactant sample.,CONNECTED,translated,,,tx1_a446stpixqb7w7hmm73ok6jnvy,row1_3gk6ki4mkfllrjh34mijqaixca,message,,rules/src/effects_stores.rs:162:23,rev1_eae9e2eb197de6922bf1e9503e25975e5fbf6c7e3eaa79c87a580d8375817693
DISCONNECTED,User-facing product copy in the Reactant sample.,DISCONNECTED,translated,,,tx1_5kksxhpogsk55v2t5jjcba4liu,row1_njsahrdyxmyb7b7idjanhukh6m,message,,rules/src/effects_stores.rs:167:23,rev1_09b3bc55603c04d7aa4be300195a845751867cc8cf527723812dbca5c24c0651
External snapshot,User-facing product copy in the Reactant sample.,External snapshot,translated,,,tx1_mikdr7ww3epvt3hrtojsldtm2i,row1_abe3x6md6w54fd3n2giv3fed4u,message,,rules/src/effects_stores.rs:190:59,rev1_ad8ab3cbd1ca44abffa1a694105cd0437f471e5ee11bbeb7d9e99ff5ab7760e6
EVENTS & PORTALS,User-facing product copy in the Reactant sample.,EVENTS & PORTALS,translated,,,tx1_aryfy6osctjooqsecei2l3mw6q,row1_nsmjdgr2b4e24tr4dksv34ippi,message,,rules/src/events_portals.rs:36:51,rev1_6ea9f4d62868187de78fc9d2c94e6f4effbc4cd7576cd3ab25042912481aa89f
Follow the logical path,User-facing product copy in the Reactant sample.,Follow the logical path,translated,,,tx1_eyrd56yznfxckk33chy563doxa,row1_2ctrm5ns3n6bipcobsnmtzdkeu,message,,rules/src/events_portals.rs:43:51,rev1_b20286a342037d84d9cd51cefc67e3e7d35244d8bb7128f423bfa8703e03b7e0
Logical source,User-facing product copy in the Reactant sample.,Logical source,translated,,,tx1_pidxjke7skbhrenh57lexmfw64,row1_imwuhtqrbfs3vxn5ir7bfwirzm,message,,rules/src/events_portals.rs:59:59,rev1_8e36da116f3e64f772c9b64dcb5fb272fbe0fb23e4affb4df076a8987c8ab2bb
Portaled overlay,User-facing product copy in the Reactant sample.,Portaled overlay,translated,,,tx1_g2vbuwubealxbdkarfstqad7qm,row1_pj6i3j26xhwbke6ogmgzv7wd64,message,,rules/src/events_portals.rs:82:69,rev1_e144718f4abf6cb6915e1b39f9fd4b707fe08dfa52073c831301ba1d30d44715
CAPTURE,User-facing product copy in the Reactant sample.,CAPTURE,translated,,,tx1_etjxe4zbmivzg2aivlftvl3wzu,row1_jve5uf4epif6nyooggapns5r6y,message,,rules/src/events_portals.rs:139:51,rev1_837aa0ac54b9e131e93bf5a8495bf7f3d925079af469e77f7aaf2847a1de94bd
TARGET,User-facing product copy in the Reactant sample.,TARGET,translated,,,tx1_bjrnqybk4uatlnze6vybcs55si,row1_f2t6swwnkivoepchajwnejrzg4,message,,rules/src/events_portals.rs:158:51; rules/src/gestures_drag.rs:248:20,rev1_cddfaa6f0697eb243bd07b5ed2f50bb59ae3cfad43d86021a60ad80039140104
BUBBLE,User-facing product copy in the Reactant sample.,BUBBLE,translated,,,tx1_7dkexqxq4m6eelmiueubjmapri,row1_fajm7n7eyo6gbsibodrt47awye,message,,rules/src/events_portals.rs:177:51,rev1_651138a668b65533729fed534c85ae49a4e7b2102ec474fecaae3064adb232ac
READY,User-facing product copy in the Reactant sample.,READY,translated,,,tx1_f37fvqqagim77mcpv2wcpms6gq,row1_qe5t6xwwev3vqmzvvkxebnsjvy,message,,rules/src/events_portals.rs:190:47,rev1_03e0067887e8a01365c953d8a11ced090d61985ca9e6f2a17e6bc5664e3cc871
UNITY-LOCAL INPUT · RELIABLE BOUNDARIES,User-facing product copy in the Reactant sample.,UNITY-LOCAL INPUT · RELIABLE BOUNDARIES,translated,,,tx1_4h7vtv3ehpf5qe4p4ihiyqlxiy,row1_wj5f33zrjelqjr4yzsproxz4am,message,,rules/src/gestures_drag.rs:109:20,rev1_83d4e9c53ac1631c899b399e0edb28139f032a8c2381b13b2a16ddc0d4e642b0
Gestures & Drag,User-facing product copy in the Reactant sample.,Gestures & Drag,translated,,,tx1_iztqa5axxugrd7zhqj2x5embhe,row1_6ey4mimgo73myoh2dsooznmvii,message,,rules/src/gestures_drag.rs:116:20,rev1_7fabcc6e347c4eb5bfd1d68f30ae4b78e0386443be801610a0be717464bc6f55
DRAG,User-facing product copy in the Reactant sample.,DRAG,translated,,,tx1_efnbqsn2m6pwwpkg57nyfll5fy,row1_biqaocgbo4cz4ze53n36oafyom,message,,rules/src/gestures_drag.rs:177:20,rev1_5b7eff051c91327468ba8403c0cfaddfe88065dd19d7a81e635829508667e895
3 PX START · 10 PX LOCK,User-facing product copy in the Reactant sample.,3 PX START · 10 PX LOCK,translated,,,tx1_jo7rqzxd35tyi4pnyfjzywlbwa,row1_4xm4orchqbufga5so2747wktc4,message,,rules/src/gestures_drag.rs:189:20,rev1_e8c35daa9909dff6c64f500e4deee50992839699fa4c733e21032180547b36d6
MOMENTUM,User-facing product copy in the Reactant sample.,MOMENTUM,translated,,,tx1_payrclb3cy3kvi3bjbllenea3i,row1_5sjrtvfla64kr6dlue7a4fhxmi,message,,rules/src/gestures_drag.rs:212:20,rev1_109a334f80d65a0528e79dfcdf921d6a3e76bbfd8f75771b2966c7ce120fed33
THROW · CATCH · RELEASE,User-facing product copy in the Reactant sample.,THROW · CATCH · RELEASE,translated,,,tx1_spgdjwiv3cpgpzb6r6lzlwciue,row1_fgcgwp6cyvcasqmh2nmouovdpm,message,,rules/src/gestures_drag.rs:224:20,rev1_af49bdb4b058ad41307f75f5e76c6ef40161f66d6e6f35f108616616243b1897
EXTERNAL HANDLE,User-facing product copy in the Reactant sample.,EXTERNAL HANDLE,translated,,,tx1_x5gtb6f4qxx7kb5yjg2jew4bim,row1_ccrdte46ecobbfu5kkphgsrmum,message,,rules/src/gestures_drag.rs:267:20,rev1_b0795e78a48e4f68499fc919fa1317f6ee6cea6b7b192a74b00a065eaf2c9651
MOTION VALUE OUTPUT,User-facing product copy in the Reactant sample.,MOTION VALUE OUTPUT,translated,,,tx1_tt54vjb6ur5ajlpccfguhll4j4,row1_3pnts4wbf5xn2l6zrsmif7z2mq,message,,rules/src/gestures_drag.rs:289:20,rev1_94c6c86f646ba0e85eb1561efc4a7c517cf1eaedcaf5ef830774bf6f0a52bcf6
SCROLL  ↓,User-facing product copy in the Reactant sample.,SCROLL  ↓,translated,,,tx1_z3tuhy2s7mbbqviq74xrymgubm,row1_h2afpzdehfcyi3o73alcy6koem,message,,rules/src/gestures_drag.rs:315:20,rev1_382127873ff59883e89847dbfe070752878079c8a78e463b5aed5b84a05a6f8c
SCROLL  ↑,User-facing product copy in the Reactant sample.,SCROLL  ↑,translated,,,tx1_3yyhvdeoiqmqpbnjzaxkj6xyzu,row1_co5erkk6xvy2hz36ms3tkx77qe,message,,rules/src/gestures_drag.rs:323:20,rev1_5d7af2d75edf8676c25d02bbdf5e33cf3dd200da24502715a188f85f5d11307d
SCROLL PROGRESS,User-facing product copy in the Reactant sample.,SCROLL PROGRESS,translated,,,tx1_ctwmjh6egpedqpvsskymkjpwoa,row1_6ste467txpak2ged75vgt62wwu,message,,rules/src/gestures_drag.rs:339:20,rev1_edde1d944185e4dc5fdb60f1bf30d640442f0ae7013b0782349ca2fe93d8cc34
IN-VIEW VALUE,User-facing product copy in the Reactant sample.,IN-VIEW VALUE,translated,,,tx1_3ceuhbaqlgv56mtmybyugnccam,row1_6tnaftwcwz2oi27goaf362garm,message,,rules/src/gestures_drag.rs:359:20,rev1_e2fa04b3701081de8405e88e506c8cc7aa74ad134098b7c396787f6a34a4bcbf
Layout Gallery,User-facing product copy in the Reactant sample.,Layout Gallery,translated,,,tx1_7eqs4bsmvrvf5c5j6ha4fgwtvi,row1_o7kur6zfnhnfoba4nrlzqo3jxu,message,,rules/src/layout_gallery.rs:51:15; rules/src/layout_gallery.rs:80:20; rules/src/layout_gallery.rs:86:11,rev1_b44006f6b03ca6e36b357911f3520146f5086986e03bd2923ea4d113b588aabc
PUBLIC LAYOUT · ONE COHERENT FLOW,User-facing product copy in the Reactant sample.,PUBLIC LAYOUT · ONE COHERENT FLOW,translated,,,tx1_2g6qf2wmksye6urkbqkf623gja,row1_fwsrmfcwaskshovznlmf4ap5gm,message,,rules/src/layout_gallery.rs:73:20,rev1_cf1aa13f7f33eb65b3046020d36b11ee1849cb1b5c66632573b034dd6f69b140
INERT TARGET,User-facing product copy in the Reactant sample.,INERT TARGET,translated,,,tx1_tvxbeiugz6pbkctzvfc2t76y3i,row1_ffshk575olfqwyzykxn25zy7mi,message,,rules/src/layout_gallery.rs:101:25,rev1_9335a9c9c18153f09f4b54e686201a1cc1f3352822040d42f0ffe932df245449
Reset settings,User-facing product copy in the Reactant sample.,Reset settings,translated,,,tx1_oqzdpl6pchtojjemsqaqo5vsfe,row1_nrx2w4btwdgy7wix5jiyr52ufu,message,,rules/src/layout_gallery.rs:142:15,rev1_86477bc2c2b5a8177ebafd859ce39c4623a71b3bb825872022ffb03604d7d4a6
Settings reset,User-facing product copy in the Reactant sample.,Settings reset,translated,,,tx1_fzxfosqwvhb5d5f4r2jbdue5yy,row1_x6bqgbmlyjlzu4kaqrenyoamce,message,,rules/src/layout_gallery.rs:148:25,rev1_4014cfce075283b727a0e31697412af054f98e5dbfe916a6539a64a0ce320e99
Responsive tracks,User-facing product copy in the Reactant sample.,Responsive tracks,translated,,,tx1_huipgq3yxrg4hjlzsenqqarmze,row1_7mi25s264mcvr7rsm7dmudvuee,message,,rules/src/layout_gallery.rs:156:15,rev1_c9d4c4832d1ed9970161bd7a1208dce7c3f4672264f0a33954902bb56ebd6ed0
Open modal,User-facing product copy in the Reactant sample.,Open modal,translated,,,tx1_epoyris6jd6wdk7fi2b4v5fjra,row1_6orifwl7nnmor537a2n2qwzwum,message,,rules/src/layout_gallery.rs:170:15,rev1_7e2f3026e87cda5f4e2e76ed887863b9a4b499f4406400428a3fd9d3c6b50e39
RESPONSIVE TRACKS,User-facing product copy in the Reactant sample.,RESPONSIVE TRACKS,translated,,,tx1_4mmvsqqgxthtozlfstldr72ivi,row1_plv7iucrv3flsri3vbrmquy434,message,,rules/src/layout_gallery.rs:183:21,rev1_5f800527b4b53b88a496a9b28946df364e80a2d16b0521da08bf4b90231d1506
LARGE TEXT,User-facing product copy in the Reactant sample.,LARGE TEXT,translated,,,tx1_xpr5iuoz3ofablgk62cw4vqple,row1_oqk7uev6vd6l5cifidppgw5ore,message,,rules/src/layout_gallery.rs:191:21,rev1_c6f190bcfeb6d28a089e3c2196aaadacf159c5c20ebe04e9cb816738a73bb3cf
TOGGLE INERT,User-facing product copy in the Reactant sample.,TOGGLE INERT,translated,,,tx1_mzuyj74u7weq5iecywa7ah7zqe,row1_wvgg66u7enmochov6pwmyugrrq,message,,rules/src/layout_gallery.rs:201:21,rev1_135bb91214cdb1d23a28eaea774665c97a71250f1da90c37fbd61ee0c22fc63b
OPEN MODAL,User-facing product copy in the Reactant sample.,OPEN MODAL,translated,,,tx1_6zz63mgw46wlizgmqt2udl6iii,row1_rp2dqed4yoelneaxoow6ukvqge,message,,rules/src/layout_gallery.rs:211:21,rev1_0fce3d8e393ab0dc810549fe2500835948ca671f67285b9f81270ec8caf86254
RECONNECT,User-facing product copy in the Reactant sample.,RECONNECT,translated,,,tx1_5slgp6ggzpqve6j5je6u3eajli,row1_qxp2zg7qeykudculdn4u2vijvu,message,,rules/src/layout_gallery.rs:220:21,rev1_0b23d6b5c37acb60c5dda7913539a1c3cf1cfc52789a201c22485453cec277ae
RESET,User-facing product copy in the Reactant sample.,RESET,translated,,,tx1_ugc5vz3huaazyjajl4mv7eokpe,row1_77lf2eo4bcb5isymhp745qodce,message,,rules/src/layout_gallery.rs:231:21,rev1_df8b72a8a77f204878eb1804d08893a365d951d36b92973706244c701e92554d
Settings sections,User-facing product copy in the Reactant sample.,Settings sections,translated,,,tx1_yfiqrjlegqnca4kwdximtppa6q,row1_ipmioy3fmsrqhxr6g5tki2cz3a,message,,rules/src/layout_gallery.rs:241:29,rev1_42bbb1c83b85882c83a148954f29b4885f78170dc232594529206ad63b8e6cca
FIXED TAB GRID,User-facing product copy in the Reactant sample.,FIXED TAB GRID,translated,,,tx1_oohoeezfku7d27g4j5butw64za,row1_4e64fbnjzgxmdawiv7hpf34y7i,message,,rules/src/layout_gallery.rs:248:20,rev1_b05df9759019544257ce4e2b144edf98be14eb375154db3e5f3927548bc5a829
Captions,User-facing product copy in the Reactant sample.,Captions,translated,,,tx1_eomebtf5iigqgsjjdnsuqlugni,row1_hdemt2bnmlbppuyvykocdfregu,message,,rules/src/layout_gallery.rs:308:15,rev1_d5752b55ce560e31d5cd62b8dd7234432d20b0a15b625560f9ef0c8c188a6524
Spatial audio,User-facing product copy in the Reactant sample.,Spatial audio,translated,,,tx1_b75iuscjkrr42a7vmdpqemjtla,row1_myw5ickq43xdwmjvivck2wtug4,message,,rules/src/layout_gallery.rs:319:15,rev1_2a6c9671b0ce778197fbd9dba6ee481ea4eecea65002852009bb672dc67eefa0
Audio quality,User-facing product copy in the Reactant sample.,Audio quality,translated,,,tx1_qndcwk5letufl7xku2dtvthrh4,row1_t4qtkqf5zqfcojixl3kx5qzqvi,message,,rules/src/layout_gallery.rs:328:39,rev1_65d7cc105404ce283da6eff4ca731867e80866f2b5a09439cc7baf798625d044
Standard quality,User-facing product copy in the Reactant sample.,Standard quality,translated,,,tx1_mf7vdfatfg4groczfham4ls2ge,row1_7wo4ayhfbe2sbv4pgmb4ufdwjq,message,,rules/src/layout_gallery.rs:335:15,rev1_4fe815ed41d04ffb97c70aacc7c4a9c3a90e4de60c93ba82e7326e31ab21d9d4
Studio quality,User-facing product copy in the Reactant sample.,Studio quality,translated,,,tx1_k3vdyipbm6hr6xxxgaeboil3ca,row1_uvc7ok3dpslyhnff5pcs36kami,message,,rules/src/layout_gallery.rs:345:15,rev1_690d5f963921cdd87c9b05a04c8029cbc7cfc84c45a26756e8ec55fabec8b1d8
Music volume,User-facing product copy in the Reactant sample.,Music volume,translated,,,tx1_3wgaddtgcql7wwt3x24gmkblmy,row1_nnjw24tb2kftimapljuanwywaa,message,,rules/src/layout_gallery.rs:354:15,rev1_02ea6cd9d9155490c3434e504c3cc74e062a6437d84579c7bec545bf828b692c
Advanced audio,User-facing product copy in the Reactant sample.,Advanced audio,translated,,,tx1_sxq5kamsz5qy5hcsmnl7r3s4gi,row1_gi2qrt6f6jaqp2lb5qqogvfj3q,message,,rules/src/layout_gallery.rs:370:15,rev1_4665e1d23627ac81b67379f77f02c246c9633a645e9521fe33cd14489da1363a
Save settings,User-facing product copy in the Reactant sample.,Save settings,translated,,,tx1_sgscy45srm767wo4hh3cj7nqyu,row1_em5dft3wfrwzxrqbyp7c6s22e4,message,,rules/src/layout_gallery.rs:382:15,rev1_70d84c65c7263e797513e9cd38c7d4ce17cb21cd318711595359366380d2354e
Settings saved,User-facing product copy in the Reactant sample.,Settings saved,translated,,,tx1_dkcohztcaawnpr4hefjz4xo6fm,row1_l4gdfznglpyn3f2akjqxcxlu3m,message,,rules/src/layout_gallery.rs:388:25,rev1_6999466321c17a51239ccda1c0ad3b1ba14a496aaf4de57373eeb977ce762401
Advanced audio controls,User-facing product copy in the Reactant sample.,Advanced audio controls,translated,,,tx1_bmpuol7tkiy2ydjbot52flctqi,row1_3lsn6ing57wl4ak3rdpn6azec4,message,,rules/src/layout_gallery.rs:394:42; rules/src/layout_gallery.rs:525:20,rev1_44ad0269a019fc2987263ee2ac54410044cae46559b0130c03f97ad4c9b28a5c
Accessible settings,User-facing product copy in the Reactant sample.,Accessible settings,translated,,,tx1_ifdrkufdlkjzt5nl5jt7nve5zq,row1_66mmvzuo3ad3hiyqwvwjatiluu,message,,rules/src/layout_gallery.rs:400:32; rules/src/layout_gallery.rs:411:11,rev1_70646f0340db39c72759a422dbe23bf937ca68ec21817edc5ebf8177d326f68d
ACCESSIBLE SETTINGS,User-facing product copy in the Reactant sample.,ACCESSIBLE SETTINGS,translated,,,tx1_2j5jjwetphfpcc4zifdmvsseii,row1_huqqcmwu7yaqp47yadc37hhuiq,message,,rules/src/layout_gallery.rs:406:20,rev1_77ad5c22cc150ea5349c7b9f259dd7acddf0a9e19ad994bcb060be9539ac75c4
